code,alias,source,kind,time_window
USDJPY,UsdJpy,metatrader5,candlestick,1m
11,SELIC,bcb,economic_indicator,1M
12,CDI,bcb,economic_indicator,1M
1178,SELIC_Anual,bcb,economic_indicator,1y
432,SELIC_Meta_Anual,bcb,economic_indicator,1y
433,IPCA_Mensal,bcb,economic_indicator,1M
189,IGP_M_Mensal,bcb,economic_indicator,1M
192,INCC_Mensal,bcb,economic_indicator,1M
27574,Indice_Condicoes_Econ_BR,bcb,economic_indicator,1M
29042,Indice_Condicoes_Econ_BR_USD,bcb,economic_indicator,1M
1619,Salario_Minimo,bcb,economic_indicator,1M
24363,IBC_BR,bcb,economic_indicator,1M
21774,Populacao_BR,bcb,economic_indicator,1y
4380,PIB_Trimestral_Real,bcb,economic_indicator,3M
7326,PIB_Anual_Corrente,bcb,economic_indicator,1y
1211,Deflator_Implicito_PIB,bcb,economic_indicator,1y
^BVSP,IndBovespa,yfinance,candlestick,1d
^IXIC,IndNasdaq,yfinance,candlestick,1d
^GSPC,IndSp500,yfinance,candlestick,1d
^DJI,IndDji,yfinance,candlestick,1d
BTC-USD,BtcUsd,yfinance,candlestick,1d
EURUSD=X,EurUsd,yfinance,candlestick,1d
GC=F,FutOuro,yfinance,candlestick,1d
SI=F,FutPrata,yfinance,candlestick,1d
HG=F,FutCobre,yfinance,candlestick,1d
CL=F,FutPetroleo,yfinance,candlestick,1d
HO=F,FutOleo,yfinance,candlestick,1d
NG=F,FutGasNatural,yfinance,candlestick,1d
RB=F,FutGasolina,yfinance,candlestick,1d
SB=F,FutAcucar,yfinance,candlestick,1d
ZC=F,FutMilho,yfinance,candlestick,1d
ZR=F,FutArroz,yfinance,candlestick,1d
ZS=F,FutSoja,yfinance,candlestick,1d
KC=F,FutCafe,yfinance,candlestick,1d
LE=F,FutGado,yfinance,candlestick,1d
HE=F,FutPorco,yfinance,candlestick,1d
CT=F,FutAlgodao,yfinance,candlestick,1d
ZB=F,JurosFuturo,yfinance,candlestick,1d
^BVSP,IndBovespa,yfinance,candlestick,1h
^IXIC,IndNasdaq,yfinance,candlestick,1h
^GSPC,IndSp500,yfinance,candlestick,1h
^DJI,IndDji,yfinance,candlestick,1h
BTC-USD,BtcUsd,yfinance,candlestick,1h
EURUSD=X,EurUsd,yfinance,candlestick,1h
GC=F,FutOuro,yfinance,candlestick,1h
SI=F,FutPrata,yfinance,candlestick,1h
HG=F,FutCobre,yfinance,candlestick,1h
CL=F,FutPetroleo,yfinance,candlestick,1h
HO=F,FutOleo,yfinance,candlestick,1h
NG=F,FutGasNatural,yfinance,candlestick,1h
RB=F,FutGasolina,yfinance,candlestick,1h
SB=F,FutAcucar,yfinance,candlestick,1h
ZC=F,FutMilho,yfinance,candlestick,1h
ZR=F,FutArroz,yfinance,candlestick,1h
ZS=F,FutSoja,yfinance,candlestick,1h
KC=F,FutCafe,yfinance,candlestick,1h
LE=F,FutGado,yfinance,candlestick,1h
HE=F,FutPorco,yfinance,candlestick,1h
CT=F,FutAlgodao,yfinance,candlestick,1h
ZB=F,JurosFuturo,yfinance,candlestick,1h
^BVSP,IndBovespa,yfinance,candlestick,15m
^IXIC,IndNasdaq,yfinance,candlestick,15m
^GSPC,IndSp500,yfinance,candlestick,15m
^DJI,IndDji,yfinance,candlestick,15m
BTC-USD,BtcUsd,yfinance,candlestick,15m
EURUSD=X,EurUsd,yfinance,candlestick,15m
GC=F,FutOuro,yfinance,candlestick,15m
SI=F,FutPrata,yfinance,candlestick,15m
HG=F,FutCobre,yfinance,candlestick,15m
CL=F,FutPetroleo,yfinance,candlestick,15m
HO=F,FutOleo,yfinance,candlestick,15m
NG=F,FutGasNatural,yfinance,candlestick,15m
RB=F,FutGasolina,yfinance,candlestick,15m
SB=F,FutAcucar,yfinance,candlestick,15m
ZC=F,FutMilho,yfinance,candlestick,15m
ZR=F,FutArroz,yfinance,candlestick,15m
ZS=F,FutSoja,yfinance,candlestick,15m
KC=F,FutCafe,yfinance,candlestick,15m
LE=F,FutGado,yfinance,candlestick,15m
HE=F,FutPorco,yfinance,candlestick,15m
CT=F,FutAlgodao,yfinance,candlestick,15m
ZB=F,JurosFuturo,yfinance,candlestick,15m
^BVSP,IndBovespa,yfinance,candlestick,5m
^IXIC,IndNasdaq,yfinance,candlestick,5m
^GSPC,IndSp500,yfinance,candlestick,5m
^DJI,IndDji,yfinance,candlestick,5m
BTC-USD,BtcUsd,yfinance,candlestick,5m
EURUSD=X,EurUsd,yfinance,candlestick,5m
GC=F,FutOuro,yfinance,candlestick,5m
SI=F,FutPrata,yfinance,candlestick,5m
HG=F,FutCobre,yfinance,candlestick,5m
CL=F,FutPetroleo,yfinance,candlestick,5m
HO=F,FutOleo,yfinance,candlestick,5m
NG=F,FutGasNatural,yfinance,candlestick,5m
RB=F,FutGasolina,yfinance,candlestick,5m
SB=F,FutAcucar,yfinance,candlestick,5m
ZC=F,FutMilho,yfinance,candlestick,5m
ZR=F,FutArroz,yfinance,candlestick,5m
ZS=F,FutSoja,yfinance,candlestick,5m
KC=F,FutCafe,yfinance,candlestick,5m
LE=F,FutGado,yfinance,candlestick,5m
HE=F,FutPorco,yfinance,candlestick,5m
CT=F,FutAlgodao,yfinance,candlestick,5m
ZB=F,JurosFuturo,yfinance,candlestick,5m
