id,code,name,source,type
bcb_selic,11,SELIC,bcb,ECONOMIC_INDICATOR
bcb_cdi,12,CDI,bcb,ECONOMIC_INDICATOR
bcb_selic_anual,1178,SELIC_Anual,bcb,ECONOMIC_INDICATOR
bcb_selic_meta_anual,432,SELIC_Meta_Anual,bcb,ECONOMIC_INDICATOR
bcb_ipca_mensal,433,IPCA_Mensal,bcb,ECONOMIC_INDICATOR
bcb_igpm_mensal,189,IGP_M_Mensal,bcb,ECONOMIC_INDICATOR
bcb_incc_mensal,192,INCC_Mensal,bcb,ECONOMIC_INDICATOR
bcb_ice_br,27574,Indice_Condicoes_Econ_BR,bcb,ECONOMIC_INDICATOR
bcb_ice_br_usd,29042,Indice_Condicoes_Econ_BR_USD,bcb,ECONOMIC_INDICATOR
bcb_salario_minimo,1619,Salario_Minimo,bcb,ECONOMIC_INDICATOR
bcb_ibc_br,24363,IBC_BR,bcb,ECONOMIC_INDICATOR
bcb_populacao_br,21774,Populacao_BR,bcb,ECONOMIC_INDICATOR
bcb_pib_trimestral_real,4380,PIB_Trimestral_Real,bcb,ECONOMIC_INDICATOR
bcb_pib_anual_corrente,7326,PIB_Anual_Corrente,bcb,ECONOMIC_INDICATOR
bcb_deflator_pib,1211,Deflator_Implicito_PIB,bcb,ECONOMIC_INDICATOR
yfinance_bvsp,^BVSP,IndBovespa,yfinance,CANDLESTICK
yfinance_ixic,^IXIC,IndNasdaq,yfinance,CANDLESTICK
yfinance_gspc,^GSPC,IndSp500,yfinance,CANDLESTICK
yfinance_dji,^DJI,IndDji,yfinance,CANDLESTICK
yfinance_btc_usd,BTC-USD,BtcUsd,yfinance,CANDLESTICK
yfinance_eur_usd,EURUSD=X,EurUsd,yfinance,CANDLESTICK
yfinance_gc,GC=F,FutOuro,yfinance,CANDLESTICK
yfinance_si,SI=F,FutPrata,yfinance,CANDLESTICK
yfinance_hg,HG=F,FutCobre,yfinance,CANDLESTICK
yfinance_cl,CL=F,FutPetroleo,yfinance,CANDLESTICK
yfinance_ho,HO=F,FutOleo,yfinance,CANDLESTICK
yfinance_ng,NG=F,FutGasNatural,yfinance,CANDLESTICK
yfinance_rb,RB=F,FutGasolina,yfinance,CANDLESTICK
yfinance_sb,SB=F,FutAcucar,yfinance,CANDLESTICK
yfinance_zc,ZC=F,FutMilho,yfinance,CANDLESTICK
yfinance_zr,ZR=F,FutArroz,yfinance,CANDLESTICK
yfinance_zs,ZS=F,FutSoja,yfinance,CANDLESTICK
yfinance_kc,KC=F,FutCafe,yfinance,CANDLESTICK
yfinance_le,LE=F,FutGado,yfinance,CANDLESTICK
yfinance_he,HE=F,FutPorco,yfinance,CANDLESTICK
yfinance_ct,CT=F,FutAlgodao,yfinance,CANDLESTICK
yfinance_zb,ZB=F,JurosFuturo,yfinance,CANDLESTICK
